enabled,num_images,subject,character,series,general_tags,natural_language
true,3,1girl,Makise Kurisu,Steins;Gate,"short saree, red silk, gold embroidery, physics lab, carrying equipment, cynical smirk, looking at viewer, full body, detailed background, messy hair","Makise Kurisu is modeling a deep red silk saree while moving heavy scientific equipment in a cluttered physics lab. She looks at the viewer with a cynical smirk, the gold embroidery of her saree catching the light from the glowing monitors as she pushes a heavy cart."
true,3,1girl,Mayuri Shiina,Steins;Gate,"sheer short sundress, light blue, park, watering plants, happy, smile, full body, detailed background, flower beds, sunny","Mayuri is in a sunny park wearing a sheer light blue sundress, happily watering the flowers. She has a bright and innocent smile on her face, her gentle presence adding to the beauty of the floral environment as she works."
true,3,1girl,Suzuha Amano,Steins;Gate,"original dress, city street, riding bicycle, carrying heavy messenger bag, confident, sweat, full body, detailed background, asphalt","Suzuha is pedaling hard through a busy city street in her original outfit, carrying a heavy messenger bag over her shoulder. She looks confident and focused, her skin glistening with sweat under the afternoon sun as she navigates through traffic."
true,3,1girl,Faris NyanNyan,Steins;Gate,"short saree, pink silk, maid cafe, carrying tray, cat ears, playful, smirk, full body, detailed background, tables, customers","Faris is working a shift at her cafe wearing a stylish pink silk saree paired with her signature cat ears. She carries a heavy tray of drinks with a playful smirk, looking at the viewer with her usual mischievous charm."
true,3,1girl,Moeka Kiryu,Steins;Gate,"original dress, office, typing, cynical, looking away, full body, detailed background, phone in hand, desk lamp","Moeka is hunched over her desk in a dark office, her original outfit looking sharp under the desk lamp. She has a cynical and distant expression as she types on her phone, her figure casting a long shadow against the sterile office wall."
true,3,1girl,Ruka Urushibara,Steins;Gate,"short saree, white silk, shrine, sweeping, shy, embarrassed blush, full body, detailed background, torii gate, falling leaves","Ruka is sweeping the shrine grounds wearing a delicate white silk saree that flutters in the wind. Ruka looks incredibly shy and embarrassed, glancing toward the camera with a deep blush as the autumn leaves fall around the torii gate."
true,3,1girl,Mahn Nakano,The Quintessential Quintuplets,"sheer short sundress, light blue, library, reshelving books, shy, embarrassed blush, full body, detailed background, headphones, books","Miku Nakano is sitting in a library wearing a sheer blue lace sundress and her signature headphones. She has a deep, embarrassed blush and looks incredibly shy as she focuses on her book, her figure standing tall against the rows of shelves."
true,3,1girl,Nino Nakano,The Quintessential Quintuplets,"stylish saree, pink silk, luxury restaurant, washing dishes, angry pouting, full body, detailed background, soap suds, steam, kitchen","Nino is stuck washing a mountain of dishes in a restaurant kitchen, wearing a stylish pink saree protected by an apron. She has an angry, frustrated pout on her face as she scrubs a copper pot, her eyes flashing with disdain for the messy chore."
true,3,1girl,Ichika Nakano,The Quintessential Quintuplets,"sheer short sundress, yellow lace, bedroom, getting ready, shoulder slip, confident, smirk, full body, detailed background, mirror, soft light","Ichika is in her bedroom, her sheer yellow lace sundress slipping off her shoulder as she adjusts her appearance in the mirror. She gives the viewer a confident and cynical smirk through the mirror, her eyes full of professional ambition."
true,3,1girl,Yotsuba Nakano,The Quintessential Quintuplets,"short saree, green silk, athletic track, carrying hurdles, energetic, smile, full body, detailed background, stadium, grass","Yotsuba Nakano is running across the sports field in a green silk saree, her figure moving with grace and energy. She has a bright, happy smile on her face, glad to be active and helping her teammates as they prepare for their next match."
