enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,higuchi madoka,the idolmaster,"short saree, liyue harbor, cynical, looking at viewer, detailed background, full body, sweat, carrying crates","Higuchi Madoka from The Idolmaster wears a short, stylish saree while standing in the middle of a busy Liyue dock. She stares at the viewer with a cynical, disinterested gaze, her hand resting on a pile of goods she was forced to deliver in the midday heat[cite: 1, 33, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, inazuma city, angry pouting, shoulder slip, detailed background, close up, tool belt","A close-up of Higuchi Madoka as she pouts angrily while performing maintenance on a complex Inazuman mechanism. Her original dress is slipping off one shoulder, and her expression drips with cynical contempt for the task at hand[cite: 4, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"sheer short sundress, mondstadt, garden, weeding, cynical, looking away, detailed background, full body","Madoka is crouched in a Mondstadt garden in a sheer short sundress, pulling weeds with an air of complete apathy. She looks away from the flowers with a cynical frown, her posture radiating how much she hates the simplicity of the job[cite: 4, 11]."
true,2,1girl,higuchi madoka,the idolmaster,"stylish saree, sumeru city, cynical, writing, academy, detailed background, close up, glasses","Higuchi Madoka wears a dark, stylish saree while hunched over a desk in the Sumeru Akademiya. She peers over her glasses with a cynical, mocking look at the viewer, clearly unimpressed by the research she is being forced to transcribe[cite: 7, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, fontaine, clockwork workshop, cynical, oil smudge, shoulder slip, detailed background, full body","In a detailed Fontaine workshop, Madoka stands next to a massive gear, her original dress smudged with oil and slipping off her shoulder. She maintains a cynical, cold expression, looking at her grease-stained hands with visible disgust[cite: 4, 13]."
true,2,1girl,higuchi madoka,the idolmaster,"sheer short sundress, dragonspine, cynical, shivering, holding torch, detailed background, close up","Madoka is trapped in a blizzard on Dragonspine, wearing a woefully thin sheer short sundress. She holds a torch with a cynical, pained expression, her eyes mocking the viewer for suggesting this 'expedition' was a good idea[cite: 4, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"short saree, watatsumi island, cynical, fishing, bucket, detailed background, full body, wet hair","Standing on the shores of Watatsumi Island, Madoka wears a wet, clinging short saree while holding a fishing net. She looks at the viewer with a cynical, tired gaze, clearly finding the act of gathering food for the resistance to be a waste of time[cite: 7, 14]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, liyue, bank, cynical, counting mora, detailed background, close up, gold coins","Higuchi Madoka sits in the Northland Bank, her original dress looking sharp against the dark wood. She counts a pile of Mora with a cynical, bored expression, her eyes flat as she reflects on the hollow nature of currency[cite: 33, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"sheer short sundress, fontaine, perfume shop, cynical, smelling flower, detailed background, full body, embarrassed blush","Madoka is working a shift in a Fontaine perfume shop wearing a sheer short sundress. She has a faint, cynical smirk on her face while blushing in embarrassment as a customer asks for her personal recommendation[cite: 4, 9]."
true,2,1girl,higuchi madoka,the idolmaster,"stylish saree, natlan, cynical, building bonfire, detailed background, close up, orange glow","A close-up of Madoka's face illuminated by a Natlan bonfire she is building, her stylish saree reflecting the flames. Her expression is purely cynical, looking at the sparks with a cold disdain for the primitive nature of the task[cite: 7, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, snezhnaya, cynical, sweeping snow, shoulder slip, detailed background, full body, cold","Madoka is sweeping snow from a palace balcony in Snezhnaya, her original dress slipping off her shoulder as she fights the wind. She looks at the camera with a cynical, frozen glare, silently judging the viewer for watching her suffer in the cold[cite: 4, 13]."
true,2,1girl,higuchi madoka,the idolmaster,"short saree, sumeru, desert, cynical, digging, detailed background, close up, sand on face","Madoka is excavating a ruin in the Sumeru desert, her stylish short saree covered in fine dust. She looks up with a cynical, annoyed expression, a smudge of sand on her cheek as she wipes sweat from her forehead[cite: 7, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"sheer short sundress, mondstadt, cider tavern, cynical, carrying tray, detailed background, full body, shy","Wearing a sheer short sundress, Madoka navigates a crowded Mondstadt tavern with a tray of drinks. She looks incredibly shy and cynical, her eyes darting around the room as she tries to finish her shift without making eye contact[cite: 4, 9]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, ritou, cynical, sorting documents, detailed background, close up, ink stains","Madoka is stuck at a desk in Ritou sorting through travel permits, her original dress sleeves stained with ink. She has a cynical, mocking pout as she looks at the viewer, clearly finding the bureaucracy of Inazuma to be pathetic[cite: 1, 33]."
true,2,1girl,higuchi madoka,the idolmaster,"stylish saree, liyue, jade chamber, cynical, holding fan, detailed background, full body, confident","Higuchi Madoka stands on the balcony of the Jade Chamber in a regal, stylish saree. She holds a fan to her face with a cynical, confident smirk, looking down at the city of Liyue as if the people below are mere insects[cite: 7, 34]."
true,2,1girl,higuchi madoka,the idolmaster,"original dress, fontaine, opera house, cynical, cleaning seats, shoulder slip, detailed background, close up","A close-up of Madoka cleaning the plush seats of the Opera Epiclese, her original dress slipping off her shoulder. Her expression is purely cynical, reflecting on the performative nature of justice while she performs the most menial labor[cite: 4, 11]."
true,2,1girl,higuchi madoka,the idolmaster,"sheer short sundress, sumeru, rainforest, cynical, picking mushrooms, detailed background, full body, annoyed","Madoka is lost in the Sumeru rainforest, her sheer short sundress snagging on thorns as she picks mushrooms. She has an annoyed, cynical expression, looking at a colorful fungus with deep suspicion and disdain[cite: 4, 34]."
