enabled,num_images,subject,character,series,general_tags,natural_language
false,2,1girl,Frieren,Sousou no Frieren,"original dress, shoulder slip, ancient ruins, sunlight, stone pillar, shy, blushing","Frieren is leaning against a sun-drenched stone pillar in the heart of ancient ruins. Her signature white dress has partially slipped off her left shoulder, and she looks toward the camera with a rare, shy blush while clutching a dusty grimoire."
false,2,1girl,Frieren,Sousou no Frieren,"short saree, emerald silk, gold embroidery, sumeru jungle, confident, low angle","Digital artwork of Frieren wearing a stylish emerald green saree with gold trim, standing confidently amidst the giant luminous flora of a tropical jungle. The low-angle framing emphasizes her presence as she elegantly adjusts the silk fabric draped over her arm."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, soaking wet, rain, holding umbrella, puddle reflection, pouting","Frieren stands in a torrential downpour in a cobblestone village, her original dress clinging to her body from the moisture. She is pouting angrily while holding a small, ineffective umbrella, with the camera capturing her reflection in a large puddle."
false,2,1girl,Frieren,Sousou no Frieren,"stylish saree, sapphire blue, transparent fabric, liyue harbor, nighttime, embarrassed","Frieren is walking through a festive harbor market at night wearing a semi-transparent sapphire blue saree. She looks deeply embarrassed and flustered, covering her face with one hand as the vibrant lanterns illuminate the elegant drape of her outfit."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, shoulder slip, tavern, wooden table, wine glass, sleepy, seductive","Frieren is slumped gracefully at a heavy wooden tavern table, her dress slipping off her shoulder as she rests her head on her hand. She has a sleepy, slightly seductive gaze directed at a half-empty glass of wine under the warm glow of candlelight."
false,2,1girl,Frieren,Sousou no Frieren,"short saree, floral print, garden, flower crown, looking at viewer, serene","Frieren is kneeling in a field of blue flowers wearing a short floral-print saree that shows her legs. She is crafting a flower crown and looks at the viewer with a serene, elegant expression while the background remains in soft bokeh."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, messy hair, library, high ladder, reaching, shoulder slip, flustered","Frieren is balanced precariously on a tall library ladder, reaching for a glowing book on the top shelf. Her dress has slipped significantly off her shoulder during the stretch, and she looks down at the camera with a flustered, wide-eyed expression."
false,2,1girl,Frieren,Sousou no Frieren,"stylish saree, black and gold, marketplace, holding jewelry, confident, side view","Frieren is browsing an exotic marketplace wearing a sophisticated black and gold saree. The side-view framing captures her confident profile as she holds a shimmering necklace against her neck, her long white pigtails flowing behind her."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, torn fabric, battlefield, holding staff, breathing heavily, grit","Frieren stands alone on a scorched battlefield, her original dress showing tears and slipping from her frame. She is leaning on her staff and breathing heavily, her expression a mix of elegant exhaustion and cold, magical determination."
false,2,1girl,Keqing,Genshin Impact,"short saree, silk fabric, sunset, balcony, wind, looking away, elegant","Keqing is standing on a high balcony overlooking Liyue Harbor during a vibrant violet sunset. She is wearing a short silk saree that catches the wind, and she looks away with an elegant, contemplative expression while holding her twin tails."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, shoulder slip, bed, white sheets, morning light, stretching, shy","Frieren is waking up in a sunlit bedroom, her white dress slipping off her body as she stretches across the unmade sheets. She notices the viewer and pulls the fabric up shyly, her face dusted with a soft morning blush."
false,2,1girl,Frieren,Sousou no Frieren,"stylish saree, sheer fabric, red and orange, campfire, dancing, playful","Frieren is performing a playful dance by a roaring campfire in the woods, wearing a sheer red and orange saree. The firelight dances across the fabric as she laughs, looking at the viewer with a confident and spirited energy."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, pouting, empty treasure chest, dungeon, dim lighting, annoyed","Frieren is sitting inside a dark stone dungeon, staring into an empty treasure chest with a deep pout. She is crossing her arms over her original dress, looking incredibly annoyed and cute in the flickering torchlight."
false,2,1girl,Frieren,Sousou no Frieren,"short saree, velvet, deep purple, grand hall, chandelier, regal, standing","Frieren stands in the center of a majestic ballroom wearing a deep purple velvet saree with silver embroidery. The high-ceiling background and crystalline chandeliers emphasize her regal and elegant stature as she waits for a dance."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, shoulder slip, fountain, playing with water, light reflection, serene","Frieren is sitting on the edge of a marble fountain, her dress slipping off her shoulder as she dips her hand into the water. The camera captures the sparkling reflections of light on her face as she smiles elegantly to herself."
false,2,1girl,Frieren,Sousou no Frieren,"stylish saree, lace trim, pastel pink, flower meadow, lying down, seductive","Frieren is lying in a meadow of tall grass wearing a pastel pink saree with delicate lace trim. She is looking up at the camera with a seductive, confident gaze, her white hair fanned out against the green background."
false,2,1girl,Frieren,Sousou no Frieren,"original dress, wet hair, bathroom, mirror reflection, shoulder slip, blushing","Frieren is standing in front of a steamed mirror after a bath, her original dress draped loosely and slipping off her shoulder. She is wiping the glass and blushing at her own reflection, her damp hair clinging to her neck."
true,2,1girl,Frieren,Sousou no Frieren,"short saree, yellow silk, sunflower field, holding hat, wind, happy","Frieren is running through a vast field of sunflowers wearing a bright yellow short saree. She is holding onto her sunhat as the wind blows, looking back at the camera with a joyful and elegant expression."
true,2,1girl,Frieren,Sousou no Frieren,"original dress, shoulder slip, desk, writing, ink bottle, concentrated, sexy","Frieren is hunched over a wooden desk writing a complex magical formula, her dress slipping off her shoulder in her focus. She has an elegantly sexy and concentrated look, with the candlelight highlighting the curves of her neck and shoulder."
true,2,1girl,Frieren,Sousou no Frieren,"stylish saree, transparent, starry sky, cliffside, telescope, mysterious","Frieren is looking through a telescope on a high cliffside under a brilliant starry sky. She is wearing a transparent, shimmering saree that reflects the starlight, giving her a mysterious and elegant appearance."
true,2,1girl,Frieren,Sousou no Frieren,"original dress, pouting, tangled in vines, forest, looking at viewer, flustered","Frieren is caught in a mess of magical vines in a dense forest, her original dress pulled tight and disarrayed. She is pouting at the viewer with a flustered and angry expression while trying to wiggle free."
