enabled,num_images,subject,character,series,general_tags,natural_language
true,3,1girl,Rem,Re:Zero - Starting Life in Another World,"intimate bedroom, soft lighting","A breathtakingly beautiful anime girl with long blue hair is leaning against a plush headboard. Her white and red maid uniform has slipped dramatically off her right shoulder, revealing delicate skin."
true,3,1girl,Asuna Yuuki,Sword Art Online,"sunlit balcony overlooking a fantasy city","She stands confidently on an ornate stone balcony, wearing her signature light-blue and white outfit. The breeze catches the sheer fabric of her skirt, making it flutter around her legs."
true,3,1girl,Yor Forger,Spy x Family,"elegant ballroom, dramatic spotlight","Yor is captured in a seductive pose, one hand resting on her hip while the other trails down her thigh. Her black dress has a deep V-neckline that plunges alluringly low."
true,3,1girl,Nezuko Kamado,Demon Slayer: Kimetsu no Yaiba,"mossy forest clearing, dappled sunlight","Nezuko is depicted in a short, vibrant pink and black sheer saree. She looks slightly shy, peeking out from behind a large fern with a gentle blush on her cheeks."
true,3,1girl,Mikasa Ackerman,Attack on Titan,"rain-soaked rooftop overlooking the city walls","Mikasa stands tall against the dramatic backdrop of the ruined cityscape, wearing her original Survey Corps uniform. Her expression is fiercely determined and slightly angry, pouting at something unseen."
true,3,1girl,Holo Interlace,Spice and Wolf,"cozy tavern corner, warm firelight","Holo leans forward playfully across a wooden table, one hand reaching out towards the viewer. She's wearing a short, stylish sheer sundress that barely covers her curves."
true,3,1girl,Marin Kitagawa,My Dress-Up Darling,"vibrant anime studio, colorful backdrop","Marin strikes a confident pose, striking a classic 'catwalk' stance. Her outfit is a slightly modified version of her usual school uniform, with the blazer open to show off a lace camisole underneath."
true,3,1girl,Ram,Re:Zero - Starting Life in Another World,"ornate gothic library, towering bookshelves","Ram is seated gracefully on a leather armchair, one leg crossed over the other. Her elaborate dress has slipped just enough to expose her collarbone and shoulder beautifully."
true,3,1girl,Rem (alternate),Re:Zero - Starting Life in Another World,"misty garden at dawn, glowing flora","This version of Rem is caught mid-movement, perhaps twirling slightly. She wears a sheer white sundress that billows around her like mist, making her look ethereal."
true,3,1girl,Erza Scarlet,Fairy Tail,"battlefield ruins, dramatic smoke effects","Erza stands powerfully amidst the rubble, clad in a revealing version of her armor/dress combo. Her expression is one of intense, battle-ready confidence, glaring directly at the viewer."
true,3,1girl,Kaguya Shinomiya,Kaguya-sama: Love Is War,"luxurious mansion drawing-room","Kaguya leans against a marble pillar with an air of supreme elegance. She wears a sophisticated dress where one shoulder strap has gracefully slid down her arm, showcasing perfect porcelain skin."
true,3,1girl,Chika Fujiwara,Kaguya-sama: Love Is War,"bright classroom setting, scattered papers","Chika is caught in a moment of playful mischief, leaning over a desk with a wide, cheeky grin. Her original uniform skirt is slightly hiked up, hinting at her energetic nature."
true,3,1girl,Violet Evergarden,European countryside, rolling hills","Violet stands thoughtfully amidst blooming wildflowers, wearing a flowing dress that seems to catch the light perfectly. She looks slightly embarrassed, clutching a lace handkerchief to her chest."
true,3,1girl,Makise Kurisu,Steins;Gate,"high-tech lab, glowing monitors","Kurisu is leaning over a console, one hand resting on the keyboard while she gazes at the screen with intense focus. Her outfit is a slightly unbuttoned white blouse paired with a short skirt."
true,3,1girl,Tohru Honda,Fruits Basket,"sunny schoolyard, cherry blossoms falling","Tohru beams radiantly, surrounded by pink petals. She wears a simple but sweet dress that seems to be made of sheer fabric, giving her an innocent yet alluring vibe."
true,3,1girl,Zero Two,DARLING in the FRANXX,"futuristic cockpit interior, neon glow","Zero Two strikes a provocative pose inside the sleek cockpit, one leg bent up high. Her iconic pink and black outfit is slightly askew, emphasizing her curves."
true,3,1girl,Rei Ayanami,Neon Genesis Evangelion,"dilapidated city street at night, rain slicked pavement","Rei stands passively yet alluringly under a flickering neon sign. She wears a modified plugsuit that clings to her form, looking distant and melancholic."
true,3,1girl,Marin (alternate),My Dress-Up Darling,"beach setting, golden hour light","Marin is playfully posing on the sand, wearing a very short, bright yellow sheer sundress. Her hair is slightly windblown, giving her an effortlessly sexy look."
true,3,1girl,Yui Hirasawa,K-On!, "band practice room, scattered instruments","Yui is caught mid-singing, leaning into the microphone stand with a flushed face. Her original school uniform blouse has popped open slightly at the chest."
true,3,1girl,Megumin,KonoSuba,"magical summoning circle, dramatic purple glow","Megumin strikes a powerful pose, casting her spell. She wears a short black dress that accentuates her slender figure, looking intensely focused and proud."
true,3,1girl,Aqua,KonoSuba,"water fountain in a fantasy town square","Aqua is posing dramatically near the water, perhaps mid-pose of divine intervention. Her outfit is slightly wet from the spray, clinging to her form beautifully."
true,3,1girl,Shizuka Gozen,Saga of Tanya the Evil,"snowy mountain pass, harsh wind blowing","Tanya stands defiantly against a blizzard, wearing her military uniform but with an added sheer red scarf draped around her neck. She has a sharp, slightly annoyed pout on her face."
true,3,1girl,Rem (confident),Re:Zero - Starting Life in Another World,"grand throne room, opulent gold accents","This Rem is radiating pure confidence, standing tall and regal. Her maid dress is perfectly fitted, but the lace trim around the neckline is deliberately undone for extra allure."
true,3,1girl,Asuna (sheer saree),Sword Art Online,"ancient temple ruins, overgrown vines","Asuna is draped in a sheer, flowing blue-and-white saree, looking incredibly graceful. She poses with one hand gracefully touching her hair, embodying serene beauty."
true,3,1girl,Fern (shy),Sousou no Frieren,"quiet library nook, sunlight streaming through window","Fern is tucked away in a corner of the library, blushing deeply while reading. Her usual attire seems slightly too large for her petite frame, making her look even more endearing and shy."
true,3,1girl,Holo (confident),Spice and Wolf,"bustling market street, colorful stalls","Holo stands amidst the chaos of the market, a mischievous glint in her eyes. She wears a short, vibrant brown sundress that allows her free movement while maintaining high sex appeal."
true,3,1girl,Mikasa (seductive),Attack on Titan,"overlooking a cliff edge at sunset","Mikasa leans back slightly against the stone railing, looking out over the vast landscape. Her uniform top is unbuttoned further than usual, offering a tantalizing glimpse of cleavage."
true,3,1girl,Yor (short dress),Spy x Family,"intimate Parisian cafe setting, soft jazz music implied","Yor sits elegantly at a small table, wearing a short, black cocktail-style dress. She looks directly at the viewer with a knowing, sultry gaze."
true,3,1girl,Nezuko (angry pout),Demon Slayer: Kimetsu no Yaiba,"dark bamboo forest, moonlight filtering through leaves","Nezuko is captured mid-snarl/pout, her eyes narrowed in playful annoyance. Her kimono seems slightly ruffled by the wind, adding a dynamic element to the pose."
true,3,1girl,Marin (original dress),My Dress-Up Darling,"behind a sewing machine, focused expression","Marin is leaning over her work, concentrating on stitching something intricate. She wears her standard uniform, but the sleeves are rolled up to her elbows, showing off toned arms."
true,3,1girl,Erza (slipping shoulder),Fairy Tail,"magical forest clearing, glowing mushrooms","Erza strikes a dynamic pose as if mid-spell casting. Her armor plating has shifted slightly, causing one pauldron and the corresponding strap on her dress to slip down her shoulder dramatically."
true,3,1girl,Kaguya (confident),Kaguya-sama: Love Is War,"rooftop garden of the mansion","Kaguya stands poised at the edge of a manicured rooftop garden. She wears a formal gown that is perfectly tailored yet exudes untouchable confidence; she looks down her nose slightly."
true,3,1girl,Chika (embarrassed),Kaguya-sama: Love Is War,"in front of a large mirror in her room","Chika has been caught off guard while perhaps changing or posing. She is blushing furiously, covering part of her face with one hand, making the viewer feel like they've stumbled upon a private moment."
true,3,1girl,Violet (confident),Fruits Basket,"standing on a hill overlooking Tokyo at night","Violet stands tall against the glittering cityscape, looking strong and self-assured. Her dress flows behind her like liquid light, suggesting inner strength matching her outward appearance."
true,3,1girl,Tohru (seductive),Fruits Basket,"underneath a large cherry blossom tree, soft focus","Tohru is leaning back against the trunk of the tree, one hand gently touching her neck. Her dress seems to be made of sheer pink fabric that hints at everything beneath it."
