enabled,num_images,subject,character,series,general_tags,natural_language
false,2,1girl,Fern,Sousou no Frieren,"modern office, desk, typing","An anime girl typing at a desk."
false,2,1boy,Stark,Sousou no Frieren,"training, forest, holding axe","A red-haired muscular boy holding a large axe."
false,2,1girl,Fern,Sousou no Frieren,"purple hair, purple eyes, library, bookshelf, holding book","Digital artwork of Fern from Sousou no Frieren, with long purple hair and purple eyes. She is browsing a massive library while holding a heavy tome."
false,2,1girl,Frieren,Sousou no Frieren,"white hair, elf, magic, forest, casting spell","Frieren from Sousou no Frieren stands in a lush green forest. She is casting a magical spell with blue glowing energy swirling around her staff."
false,2,1boy,Stark,Sousou no Frieren,"red hair, axe, training, mountain, sweat","Stark from Sousou no Frieren is training on a snowy mountain peak. He is swinging his massive axe with great force, looking determined and focused."
false,2,1girl,Marcille,Dungeon Meshi,"blonde hair, elf, staff, dungeon, campfire","Marcille from Dungeon Meshi sits by a warm campfire inside a dark stone dungeon. She is looking tired while clutching her wooden staff."
false,2,1boy,Laios,Dungeon Meshi,"short hair, armor, sword, cooking, kitchen","Laios from Dungeon Meshi is busy cooking in a rustic kitchen. He is wearing his silver plate armor while stirring a large pot of stew."
false,2,1girl,Chilchuck,Dungeon Meshi,"short brown hair, lockpick, treasure chest, kneeling, dungeon","Chilchuck from Dungeon Meshi is kneeling in front of a locked treasure chest. He is carefully using his lockpicking tools in a dimly lit dungeon corridor."
false,2,1girl,Senshi,Dungeon Meshi,"dwarf, beard, chef hat, holding ladle, field","Senshi from Dungeon Meshi stands in a sunny field. He is holding a large metal ladle and wearing his signature chef hat over his helmet."
false,2,1girl,Makima,Chainsaw Man,"red hair, braid, suit, city street, walking","Makima from Chainsaw Man walks down a busy city street in Tokyo. She is wearing a professional black suit with her long red hair in a neat braid."
false,2,1boy,Aki Hayakawa,Chainsaw Man,"topknot, katana, smoking, balcony, night","Aki Hayakawa from Chainsaw Man stands on a balcony at night. He is smoking a cigarette while looking out at the city lights with his katana strapped to his back."
true,2,1girl,Power,Chainsaw Man,"blonde hair, horns, cat, bedroom, lying down","Power from Chainsaw Man is lying on a messy bed. She is holding her cat Meowy and has a mischievous grin on her face, showing her sharp teeth."
true,2,1boy,Denji,Chainsaw Man,"messy hair, pull cord, city ruins, standing, grit","Denji from Chainsaw Man stands amidst the ruins of a destroyed building. He has his hand on the chainsaw pull cord on his chest, ready for a fight."
true,2,1girl,Himmel,Sousou no Frieren,"blue hair, hero, cape, meadow, flower crown","Himmel the Hero from Sousou no Frieren stands in a beautiful flower meadow. He is wearing a blue cape and a crown made of blue flowers."
true,2,1girl,Ubel,Sousou no Frieren,"green hair, ponytail, staff, ruins, smirk","Ubel from Sousou no Frieren stands among ancient stone ruins. She has a dangerous smirk on her face while resting her chin on her magical staff."
true,2,1girl,Land,Sousou no Frieren,"glasses, black hair, reading, coffee shop, sitting","Land from Sousou no Frieren is sitting at a small table in a modern coffee shop. He is wearing glasses and intently reading a book while ignored by the crowd."
true,2,1girl,Ryuko Matoi,Kill la Kill,"black hair, red streak, scissor blade, rooftop, sunset","Ryuko Matoi from Kill la Kill stands on a school rooftop during a vibrant sunset. She is resting her giant red scissor blade over her shoulder."
true,2,1girl,Satsuki Kiryuin,Kill la Kill,"long hair, sword, white uniform, stairs, looking down","Satsuki Kiryuin from Kill la Kill stands at the top of a grand staircase. She is looking down with a commanding presence while holding her katana Junketsu."
true,2,1girl,Mako Mankanshoku,Kill la Kill,"bowl cut, brown hair, school uniform, jumping, clouds","Mako Mankanshoku from Kill la Kill is jumping high into the air with joy. The bright blue sky and white fluffy clouds are visible behind her."
true,2,1girl,Yor Forger,Spy x Family,"black hair, red dress, garden, holding flowers, smiling","Yor Forger from Spy x Family is standing in a lush rose garden. She is wearing a beautiful red dress and holding a bouquet of fresh flowers."
true,2,1boy,Loid Forger,Spy x Family,"blonde hair, green suit, street, holding newspaper, park","Loid Forger from Spy x Family is walking through a quiet park. He is dressed in a sharp green suit and carrying a folded newspaper under his arm."
true,2,1girl,Anya Forger,Spy x Family,"pink hair, school uniform, classroom, sitting, thinking","Anya Forger from Spy x Family is sitting at her wooden desk in a classroom. She has a funny, focused expression on her face as if she is reading someone's mind."
