enabled,num_images,subject,character,series,general_tags,natural_language
true,3,1girl,Keqing,Genshin Impact,"short saree, stylish saree, liyue harbor, carrying crates, sweat, shoulder slip, confident, smile","Keqing is working at the Liyue docks wearing a vibrant silk saree that catches the golden hour light. One side of the fabric is slipping off her shoulder as she confidently carries a heavy wooden crate, looking at the viewer with a determined smile."
true,3,1girl,Raiden Shogun,Genshin Impact,"original outfit, grand narukami shrine, sweeping, broom, angry, pouting, blushing, pink hair ornament","The Raiden Shogun is forced to sweep the shrine steps after a lost bet, her face twisted into a cute, angry pout. She aggressively brushes away sakura petals while blushing in embarrassment at being seen doing menial labor."
true,3,1girl,Ningguang,Genshin Impact,"sheer sundress, short dress, jade chamber, construction, holding blueprints, confident, looking away","Ningguang stands atop the Jade Chamber scaffolding in a breezy, sheer white sundress that flutters in the high altitude wind. She gazes out over Liyue with a confident expression, holding a set of complex architectural blueprints tightly against her chest."
true,3,1girl,Jean Gunnhildr,Genshin Impact,"stylish saree, mondstadt, fountain, cleaning, wet, shy, embarrassment","Jean is helping clean the Mondstadt fountain while wearing an elegant teal saree gifted from a Sumeru diplomat. She looks incredibly shy and embarrassed as the water splashes her dress, making the delicate fabric cling to her skin."
true,3,1girl,Yelan,Genshin Impact,"cheongsam, shoulder slip, chasm, mining, pickaxe, looking at viewer, serious, sweat","Yelan is deep in the Chasm mines, her signature coat discarded and her dress slipping off one shoulder from the exertion of swinging a pickaxe. She wipes sweat from her brow while maintaining a sharp, focused gaze at the glowing crystals."
true,3,1girl,Ganyu,Genshin Impact,"original outfit, yuehai pavilion, sorting scrolls, tired, messy hair, shoulder slip","Ganyu is buried under a mountain of paperwork at the Yuehai Pavilion, her original dress slightly disheveled and slipping off her shoulder. She looks exhausted but dedicated, with a few stray hairs falling across her face as she meticulously sorts through ancient scrolls."
true,3,1girl,Lisa Minci,Genshin Impact,"sheer sundress, library, dusting, ladder, looking down, playful, confident","Lisa is perched on a library ladder in a short, sheer violet sundress, playfully dusting the highest shelves. She looks down at the viewer with a confident, knowing smirk, enjoying the breeze from the open window."
true,3,1girl,Eula Lawrence,Genshin Impact,"short saree, dragonspine, ice carving, claymore, confident, cold","Eula is seen in the snowy peaks of Dragonspine, wearing a heavy embroidered saree designed for the cold. She uses her claymore with elegant precision to carve a massive ice sculpture, looking confident and unbothered by the freezing wind."
true,3,1girl,Navia,Genshin Impact,"shoulder slip, poisson, rebuilding, hammer, construction, pouting, smudged face","Navia is working hard to rebuild Poisson, her elegant dress smudged with dirt and slipping off her shoulder as she swings a hammer. She has a cute, determined pout on her face, refusing to stop until the job is done perfectly."
true,3,1girl,Clorinde,Genshin Impact,"original outfit, training grounds, sword practice, sweat, serious, hair tie","Clorinde is engaged in intense sword drills, her original uniform damp with sweat and her movements sharp. She pauses to adjust her hair, looking incredibly serious and focused on mastering her next technique."
true,3,1girl,Shenhe,Genshin Impact,"sheer sundress, mountain top, herb gathering, shy, looking down, floral pattern","Shenhe wanders the misty peaks of Jueyun Karst gathering Qingxin flowers while wearing a sheer, floral-patterned sundress. She looks shy and contemplative, carefully placing the delicate herbs into her basket while avoiding eye contact."
true,3,1girl,Beidou,Genshin Impact,"stylish saree, alcor, deck scrubbing, wet, strong, confident, laughing","Beidou is leading her crew in scrubbing the Alcor's deck, wearing a practical but stylish crimson saree tied at the waist. She is soaking wet and laughing heartily, her strong arms moving rhythmically as she works alongside her sailors."
true,3,1girl,Yae Miko,Genshin Impact,"original outfit, yae publishing house, editing, angry, pouting, messy desk","Yae Miko is surrounded by rejected manuscripts at her publishing house, her original shrine maiden outfit slightly ruffled. She has an annoyed pout on her face as she aggressively marks up a script with red ink."
true,3,1girl,Dehya,Genshin Impact,"shoulder slip, desert, digging, ruins, sweaty skin, confident, looking at viewer","Dehya is excavating a half-buried ruin in the Sumeru desert, her top slipping off one shoulder from the heat and effort. She looks back at the viewer with a confident, rugged grin, her skin glistening with sweat under the harsh sun."
true,3,1girl,Arlecchino,Genshin Impact,"short saree, office, writing, serious, elegant, monochrome saree","Arlecchino sits in a dimly lit office, wearing a sharp, monochrome saree with elegant silver embroidery. She is focused on writing a letter, her expression cold and serious as the quill scratches across the parchment."
true,3,1girl,Furina,Genshin Impact,"sheer sundress, fontaine streets, flower shop, shy, embarrassed, blushing","Furina is working a shift at a local flower shop in a fluffy, sheer blue sundress. She looks incredibly embarrassed and is blushing deeply as a group of citizens recognizes her while she struggles to arrange a bouquet."
true,3,1girl,Nilou,Genshin Impact,"original outfit, grand bazaar, stage setup, lifting, confident, smile","Nilou is helping the theater crew set up for a performance, her original dancer's outfit moving gracefully as she lifts heavy wooden props. She has a bright, confident smile, happy to be contributing to the bazaar's community work."
true,3,1girl,Candace,Genshin Impact,"stylish saree, aru village, guarding, spear, confident, sunset","Candace stands guard at the entrance of Aru Village during a sandstorm, her gold-trimmed saree wrapped tightly against the wind. She holds her spear with confident ease, her heterochromatic eyes scanning the horizon for any threats."
true,3,1girl,Rosaria,Genshin Impact,"sheer sundress, cathedral roof, night patrol, pouting, bored, gothic style","Rosaria sits on the roof of the Favonius Cathedral in a short, sheer black sundress with gothic lace. She has a bored pout on her face, spinning a dagger while she begrudgingly keeps watch over the sleeping city."
true,3,1girl,Kujou Sara,Genshin Impact,"original outfit, military camp, training, archery, sweat, focused","Kujou Sara is practicing her archery at the Tenryou Commission camp, her original armor fitting tightly as she draws her bow. Sweat beads on her forehead as she maintains perfect form, her focus entirely on the distant target."
true,3,1girl,Xianyun,Genshin Impact,"stylish saree, workshop, inventing, glasses, confident, smirk","Xianyun is in her mountain workshop, wearing an elegant teal saree and her signature glasses. She is tinkering with a complex mechanical bird, looking at her handiwork with a confident and slightly smug smirk."
true,3,1girl,Signora,Genshin Impact,"original outfit, zapolyarny palace, walking, angry, pouting, snow","Signora is marching through the halls of the Zapolyarny Palace, her voluminous original dress trailing behind her in the frost. She has a look of cold anger on her face, pouting as she reflects on a failed diplomatic mission."
true,3,1girl,Mona Megistus,Genshin Impact,"sheer sundress, laboratory, brewing, steam, shy, messy hair","Mona is working in her cramped laboratory, wearing a sheer, star-patterned sundress that is far too thin for the steam rising from her cauldron. She looks shy and frantic, trying to keep her notes dry while her hair starts to frizz from the humidity."
true,3,1girl,Yanfei,Genshin Impact,"short saree, liyue streets, investigation, magnifying glass, confident, looking at viewer","Yanfei is conducting a legal investigation in the Liyue backstreets, wearing a stylishly draped short saree. She holds a magnifying glass to a clue, looking at the viewer with a confident, sharp-witted grin."
true,3,1girl,Layla,Genshin Impact,"original outfit, akademiya, writing, tired, sleep deprived, shoulder slip","Layla is hunched over a desk in the Akademiya library, her original outfit slipping off her shoulder as she nods off. She is desperately trying to finish her thesis, her eyes heavy with dark circles and a look of quiet embarrassment."
true,3,1girl,Yoimiya,Genshin Impact,"sheer sundress, workshop, gunpowder, sweat, confident, big smile","Yoimiya is in her fireworks workshop, wearing a sheer orange sundress that is covered in light soot. She wipes sweat from her cheek with a confident, bright smile, proud of the massive firework shell she just finished assembling."
true,3,1girl,Sangonomiya Kokomi,Genshin Impact,"stylish saree, watatsumi island, strategic planning, map, serious, elegant","Kokomi is overlooking a tactical map of Watatsumi Island, wearing a flowing blue saree that mimics the movement of water. She looks deeply serious and elegant, her fingers tracing a path through the shoals as she plans her next move."
true,3,1girl,Barbara,Genshin Impact,"original outfit, cathedral, cleaning, bucket, happy, smile","Barbara is humming a tune while mopping the floors of the Favonius Cathedral in her original idol outfit. She looks genuinely happy to be helping, giving a warm smile to everyone who passes by during her chores."
true,3,1girl,Noelle,Genshin Impact,"sheer sundress, garden, carrying logs, strong, confident, blush","Noelle is working in the Knights' garden, wearing a sheer white sundress that looks surprisingly delicate against her strength. She is effortlessly carrying a stack of heavy logs, her face blushing slightly as she catches someone watching her."
true,3,1girl,Sucrose,Genshin Impact,"short saree, alchemy lab, glass tubes, shy, embarrassment, glowing liquid","Sucrose is carefully mixing a glowing green concoction in her lab, wearing a pale green short saree. She looks incredibly shy and embarrassed, her ears twitching as the liquid begins to bubble and glow brighter than expected."
true,3,1girl,Hu Tao,Genshin Impact,"original outfit, wangsheng funeral parlor, digging, shovel, pouting, mischievous","Hu Tao is digging a fresh grave in the dead of night, her original coat tossed aside and her sleeves rolled up. She has a mischievous pout on her face, clearly enjoying the spooky atmosphere of her hard work."
true,3,1girl,Fischl,Genshin Impact,"sheer sundress, forest, scouting, bow, dramatic, confident","Fischl is scouting the Whispering Woods in a sheer, dark purple sundress with ruffled edges. She strikes a dramatic pose with her bow, looking confident as she investigates a perfectly normal pile of rocks."
true,3,1girl,Faruzan,Genshin Impact,"stylish saree, desert ruins, puzzle solving, looking down, confident, smirk","Faruzan is crouched in front of an ancient Sumeru mechanism, her stylishly draped saree collecting dust from the ruins. She has a confident smirk on her face, having clearly solved the puzzle that stumped everyone else for centuries."
true,3,1girl,Kuki Shinobu,Genshin Impact,"original outfit, inazuma city, paperwork, angry, pouting, mask off","Kuki Shinobu is sitting in a local teahouse with her mask off, glaring at a stack of bail forms for the Arataki Gang. She has a deep, angry pout, her original outfit looking slightly worn from a long day of fixing their messes."
true,3,1girl,Yun Jin,Genshin Impact,"sheer sundress, tea house, practicing, singing, elegant, shy","Yun Jin is practicing her vocal scales in a private room at Heyu Tea House, wearing a sheer, light pink sundress. She looks elegant and a bit shy, her hands clasped to her chest as she reaches a difficult high note."
true,3,1girl,Xinyan,Genshin Impact,"stylish saree, stage, hammer, construction, sweaty, confident","Xinyan is building a rock stage by hand, wearing a tough, stylish saree wrapped like a sarong. She is covered in sweat and sawdust, holding a hammer with a confident, rock-and-roll grin."
true,3,1girl,Dori,Genshin Impact,"original outfit, palace, counting mora, greedy, confident, smirk","Dori is sitting on a pile of treasure in her palace, her original outfit looking more lavish than ever. She is counting a handful of Mora with a greedy, confident smirk, clearly proud of her day's hard bargaining."
true,3,1girl,Chevreuse,Genshin Impact,"sheer sundress, fontaine streets, patrol, musket, serious, looking at viewer","Chevreuse is on a stealthy patrol through the Fleuve Cendre in a sheer, dark red sundress that helps her blend into the shadows. She holds her musket ready, looking at the viewer with a serious, no-nonsense expression."
true,3,1girl,Lynette,Genshin Impact,"stylish saree, stage, cleaning, bored, pouting, cat ears","Lynette is cleaning up magic props after a show, wearing a sleek, dark-colored saree that makes her movements look fluid. She has a bored pout on her face, her tail flicking with mild annoyance at the tedious work."
true,3,1girl,Charlotte,Genshin Impact,"original outfit, fontaine, running, camera, sweaty, confident","Charlotte is sprinting through the Court of Fontaine to catch a scoop, her original reporter's outfit flapping in the wind. She is sweating from the run but looks confident, holding her camera ready to snap the perfect shot."
true,3,1girl,Kirara,Genshin Impact,"sheer sundress, rooftops, climbing, box, happy, smile","Kirara is leaping across the rooftops of Inazuma City to deliver a package, wearing a sheer, breezy sundress. She has a happy, energetic smile, her cat tails wagging as she effortlessly carries a heavy wooden box."
true,3,1girl,Collei,Genshin Impact,"stylish saree, forest, patrol, bow, shy, blushing","Collei is on patrol in the Avidya Forest, wearing a green saree with forest-leaf embroidery. She looks shy and is blushing slightly as she practices her social greetings out loud while checking the health of the trees."
true,3,1girl,Amber,Genshin Impact,"original outfit, mondstadt walls, repair, hammer, sweaty, confident","Amber is on top of the Mondstadt walls, helping the builders repair a stone section. She is sweaty and has a bit of dirt on her nose, but her confident smile shows she's happy to be the Outrider helping her city."
