enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, short saree, liyue harbor, lifting crates, shoulder slip, sweating, confident","Digital artwork of Keqing from Genshin Impact in a stylish short silk saree. She is confidently lifting heavy wooden crates at the docks, and the fabric is slipping off her shoulder as she works under the sun."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, original dress, construction site, blueprint, shoulder slip, shy, blushing","Keqing is overseeing a construction project while wearing her original purple dress. She looks shy and embarrassed as she realizes her dress has slipped off one shoulder while she was focused on a large blueprint."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, office, desk, paperwork, angry, pouting, shoulder slip","Keqing is sitting at her desk in Liyue, buried under mountains of paperwork. She is pouting angrily at the workload, unaware that her sleeve has slipped down her arm in her frustration."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, blacksmith, anvil, hammer, shoulder slip, glowing embers, confident","Keqing is working hard at a blacksmith's forge wearing a practical yet elegant short saree. She confidently swings a heavy hammer over glowing metal, and her saree is draped loosely off her shoulder from the exertion."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, library, ladder, reaching, shoulder slip, shy, embarrassed","Keqing is balanced on a high library ladder reaching for an ancient scroll. She looks back with a shy and embarrassed expression as her original dress slips off her shoulder during the stretch."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, field, harvesting, basket, shoulder slip, sweat, confident","Keqing is harvesting glaze lilies in the fields of Liyue, carrying a heavy wicker basket. She has a confident smile despite the sweat on her brow and her dress slipping off her shoulder."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, kitchen, cooking, large pot, steam, pouting, shoulder slip","Keqing is pouting while trying to stir a massive pot of soup in a busy kitchen. She is wearing a stylish short saree that has slipped off her shoulder due to the steam and heavy stirring."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, original dress, mine, pickaxe, shoulder slip, shy, blushing","Keqing is working hard in the Chasm mines with a pickaxe in hand. She looks incredibly shy and embarrassed to be caught with her original dress slipping off her shoulder in such a rugged place."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, harbor, ship, rope, pulling, shoulder slip, confident","Keqing is helping pull a heavy mooring rope on a ship at Liyue Harbor. She looks confident and strong, even as her purple dress slips off her shoulder and body from the physical labor."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, garden, shovel, digging, shoulder slip, blushing, shy","Keqing is digging a new garden bed while wearing a beautiful short saree. She stops to look at the viewer with a shy blush as her saree slips off her shoulder while she leans on the shovel."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, terrace, sweeping, broom, shoulder slip, angry, pouting","Keqing is sweeping the Yujing Terrace with an angry pout, clearly unhappy with the menial task. Her original dress is slipping off her shoulder as she aggressively pushes the broom."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, workshop, wood carving, tools, shoulder slip, confident, concentrated","Keqing is meticulously carving wood at a workshop bench, looking very concentrated and confident. Her dress has slipped significantly off her shoulder, but she is too focused on her craftsmanship to notice."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, mountains, climbing, ledge, shoulder slip, shy, embarrassed","Keqing is climbing a steep mountain ledge in a stylish short saree. She looks down with a shy and embarrassed expression as her saree slips off her shoulder during the difficult ascent."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, warehouse, tallying, clipboard, shoulder slip, confident","Keqing is tallying inventory in a large warehouse, holding a clipboard with a confident air. Her original dress is slipping off her shoulder as she moves between the high shelves."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, kitchen, washing dishes, soapy water, shoulder slip, shy, blushing","Keqing is washing a mountain of dishes, her hands covered in soapy bubbles. She looks very shy and embarrassed as her dress slips off her shoulder while she scrubs a large plate."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, market stall, carrying crates, shoulder slip, angry, pouting","Keqing is pouting angrily while carrying heavy crates of fruit through a crowded market. Her short saree is slipping off her shoulder, making her look both frustrated and elegantly sexy."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, ruins, stone lifting, shoulder slip, sweat, confident","Keqing is lifting a heavy stone block while exploring ancient ruins. She has a confident expression and a light sweat on her skin, with her dress slipping off her shoulder from the effort."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, office, cleaning, dusting, shoulder slip, shy, blushing","Keqing is dusting the high shelves of her office, standing on her tiptoes. She looks back with a shy blush as her original dress slips off her shoulder during the reach."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, temple, incense, shoulder slip, confident, elegant","Keqing is elegantly lighting large incense burners at a temple. She is wearing a short saree that slips off her shoulder, and she maintains a confident and graceful posture."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, street, scrubbing floor, bucket, shoulder slip, angry, pouting","Keqing is scrubbing the stone floor of a Liyue street with a bucket of water nearby. She is pouting angrily at the chore, and her dress is slipping off her shoulder from the repetitive motion."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, original dress, bridge, repairs, hammer, shoulder slip, shy, blushing","Keqing is helping repair a wooden bridge, holding a hammer and nails. She looks very shy and embarrassed as her original dress slips off her shoulder while she leans over the railing."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, courtyard, training, sword, shoulder slip, confident, intense","Keqing is practicing an intense sword dance in a private courtyard. Her short saree is slipping off her shoulder as she moves with confident and rapid strikes."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, forge, heavy metal, shoulder slip, shy, blushing, glowing light","Keqing is pulling a heavy piece of glowing metal from a forge. She looks shy and embarrassed as the heat and effort cause her dress to slip off her shoulder and body."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, archive, organizing, high shelf, shoulder slip, angry, pouting","Keqing is pouting angrily while trying to organize a chaotic archive room. She is reaching for a high shelf, and her original dress is slipping off her shoulder in the process."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, stable, feeding horse, hay, shoulder slip, shy, blushing","Keqing is feeding a horse in the stables, her arms full of hay. She looks incredibly shy and embarrassed as her stylish short saree slips off her shoulder while she leans forward."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, office, floor, maps, shoulder slip, confident, concentrated","Keqing is kneeling on the floor of her office, intensely studying large maps of Liyue. She looks confident and focused, even though her dress has slipped significantly off her shoulder."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, harbor, fishing net, pulling, shoulder slip, shy, blushing","Keqing is helping fishermen pull in a heavy net at the harbor. She looks shy and embarrassed as the weight of the net causes her dress to slip off her shoulder and reveal her skin."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, construction, bricks, shoulder slip, confident, sweating","Keqing is helping move bricks at a construction site, looking confident and strong. Her short saree is slipping off her shoulder, and she has a light sheen of sweat on her body."
true,2,1girl,Keqing,Genshin Impact,"purple hair, original dress, library, desk, heavy books, shoulder slip, angry, pouting","Keqing is pouting angrily at a massive stack of heavy books she has to organize. Her original dress is slipping off her shoulder as she huffs and prepares to start her work."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, laboratory, vials, reaching, shoulder slip, shy, blushing","Keqing is reaching for a vial on a high laboratory shelf, looking very shy and embarrassed. Her dress has slipped off her shoulder, and she is blushing deeply while trying to remain professional."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, mountains, ruins, heavy stone, shoulder slip, confident, intense","Keqing is moving a heavy stone tablet in some ancient ruins, her expression intense and confident. Her purple dress is slipping off her shoulder and body from the massive effort."
true,2,1girl,Keqing,Genshin Impact,"purple hair, short saree, terrace, carrying water, shoulder slip, shy, blushing","Keqing is carrying two heavy buckets of water across a terrace while wearing a short saree. She looks very shy and embarrassed as the buckets pull her saree off her shoulder."
