enabled,num_images,subject,character,series,general_tags,natural_language
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, short saree, mumbai, street market, confident, carrying basket","Chizuru Ichinose is seen working in a vibrant Mumbai spice market, elegantly draped in a short, stylish sapphire saree. She carries a heavy woven basket of turmeric with a confident expression, her long brown hair tied back in a messy bun."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, original dress, slipping off shoulder, venice, library, cleaning, embarrassed","Chizuru Ichinose is cleaning a high shelf in a dusty Venetian library, her signature pink dress slipping off one shoulder as she reaches up. She looks down with an embarrassed and shy expression upon noticing someone watching her from below."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, sundress, tuscany, vineyard, harvesting grapes, pouting, angry","Chizuru Ichinose is harvesting grapes under the hot sun in Tuscany, wearing a light yellow sundress stained with juice. She is pouting angrily because she has been working for hours without a break, her face flushed from the heat."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, short saree, liyue harbor, fishing, wet clothes, crying, sad","Chizuru Ichinose sits on the docks of Liyue Harbor, wearing a short red saree that has become damp from the sea spray. She is crying softly while mending a heavy fishing net, looking exhausted from a long night of labor."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, original dress, slipping off shoulder, paris, bakery, kneading dough, confused","Chizuru Ichinose is kneading dough in a small Parisian bakery, her dress slipping off her shoulder as she exerts herself. She looks confused and overwhelmed by a complex recipe, her chestnut eyes wide with uncertainty."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, sundress, giza, archaeological dig, brushing sand, confident","Chizuru Ichinose is at an archaeological site in Egypt, wearing a practical white sundress while brushing sand off an ancient relic. She has a confident smile on her face, proud of her discovery under the desert sun."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, short saree, kyoto, tea house, serving tea, shy, blushing","Chizuru Ichinose is serving tea in a traditional Kyoto tea house, wearing a short floral saree instead of a kimono. She is blushing deeply and looking away shyly as a guest compliments her unique and elegant attire."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, original dress, london, rainy street, delivering packages, tired, pouting","Chizuru Ichinose is delivering heavy packages on a rainy London street, her original dress damp and clinging to her. She is pouting with exhaustion, her long brown hair sticking to her cheeks as she checks a soggy map."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, short saree, rio de janeiro, street performance, dancing, confident","Chizuru Ichinose is performing a spirited dance on the streets of Rio, wearing a short, shimmering gold saree. She looks incredibly confident and radiant, her movements elegant as she attracts a large, cheering crowd."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, dress slipping off body, berlin, auto shop, fixing engine, grease on face, focused","Chizuru Ichinose is working under the hood of a car in a Berlin garage, her dress slipping dangerously off her body as she leans forward. She is deeply focused on the engine, unaware of the grease smudge on her cheek."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, sundress, natlan, hauling stones, sweating, determined","Chizuru Ichinose is helping rebuild a wall in Natlan, wearing a simple sundress while hauling heavy volcanic stones. She is sweating profusely but looks determined, her muscles tensed as she works alongside the locals."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, short saree, sumeru academia, library, shelving books, confused, clumsy","Chizuru Ichinose is trying to organize a chaotic pile of scrolls in the Sumeru library while wearing a short green saree. She looks confused by the ancient language and accidentally drops a stack of books, looking clumsy and flustered."
true,3,1girl,Chizuru Ichinose,Rent-a-Girlfriend,"long brown hair, original dress, slipping off shoulder, mondstadt, tavern, cleaning tables, annoyed","Chizuru Ichinose is cleaning sticky tables in a busy Mondstadt tavern, her dress slipping off her shoulder as she scrubs. She looks annoyed and pouts at the rowdy adventurers who keep making a mess around her."
