enabled,num_images,subject,character,series,general_tags,natural_language
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, video store uniform, cleaning shelves, reaching up, dress slipping off shoulder, embarrassed","Belle is diligently dusting the top shelves of her video store, Random Play, with her oversized uniform shirt sliding off one shoulder as she reaches. She looks back at the viewer with a deeply embarrassed and shy expression, her face turning a bright shade of red."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, vibrant teal, mumbai, busy market, carrying basket, confident","Belle navigates the crowded streets of Mumbai wearing a stylish, short teal saree that perfectly complements her blue hair. She carries a heavy basket of exotic spices with a confident and radiant smile, her movements elegant despite the chaos of the market."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, sundress, white and yellow, santorini, balcony, looking at ocean, wind, dress lift, shy","Belle stands on a whitewashed balcony in Santorini, her light summer sundress fluttering in the strong Mediterranean breeze. She shyly tries to hold down the hem of her dress while looking out at the deep blue sea, her blue hair whipping around her face."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, hollow, repairing bangboo, oil stains, focused, pouting","Belle is hunched over a sparking Bangboo in the middle of a dangerous Hollow, her signature casual dress covered in dark oil stains. She is pouting in deep concentration as she manipulates a complex screwdriver, her brow furrowed with intense focus."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, silk, gold jewelry, kyoto, tea house, serving tea, kneeling, elegant","Belle is seen kneeling in a traditional Kyoto tea house, wearing an elegant silk saree adorned with delicate gold jewelry. She performs the tea ceremony with a serene and confident grace, her blue hair neatly tucked behind her ears as she pours."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, sundress, floral pattern, amsterdam, flower market, holding tulips, crying, sad","Belle stands amidst a sea of colorful tulips in an Amsterdam market, her floral sundress dampened by a light drizzle. She is crying softly into a bouquet of flowers, her expression one of heartbreaking sadness and confusion."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, dress slipping off body, workshop, messy hair, tinkering, grease on skin, looking at viewer, seductive","Belle is working late in her cluttered workshop, her dress slipping low off her body as she leans over a glowing tech piece. She looks up at the viewer with a rare, slightly seductive and knowing smirk, her skin smudged with grease and sweat."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, red and gold, agra, taj mahal, sunrise, looking away, melancholic","Belle stands before the Taj Mahal at sunrise, wearing a stunning red and gold short saree that catches the first light. She looks away toward the horizon with a melancholic and thoughtful expression, her hand resting gently on a marble pillar."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, rainy street, london, carrying boxes, angry, pouting","Belle is struggling to carry a stack of heavy film canisters through a torrential London downpour, her original dress soaked through. She is pouting angrily at the rain, her cheeks puffed out as she tries to keep her footing on the slick cobblestones."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, sundress, lacy, paris, outdoor cafe, drinking coffee, confused, looking at menu","Belle is sitting at a chic Parisian cafe in a delicate lacy sundress, looking completely confused by the French menu. She tilts her head with a puzzled expression, her finger tracing the words while she absentmindedly sips her coffee."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, green, jungle, ruins, holding tech, determined, looking up","Belle is exploring overgrown jungle ruins in South America, wearing a practical green short saree for the humidity. She holds a glowing data-gathering device and looks up with a determined and curious expression, her blue hair contrasting with the emerald vines."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, slipping off shoulder, bedroom, morning, yawning, sleepy, looking at viewer","Belle is just waking up in a sun-drenched bedroom, her casual dress used as a nightgown and slipping off one shoulder. She looks at the viewer while yawning widely, her eyes watery and her blue hair messy from sleep."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, black and silver, berlin, night club, neon lights, dancing, confident","Belle is the center of attention in a high-tech Berlin nightclub, wearing a shimmering black and silver short saree. She dances confidently under the flashing neon lights, her movements sharp and elegant as the music pulses around her."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, sundress, bright orange, giza, pyramids, heat, sweating, exhausted, pouting","Belle is trekking through the desert near the Pyramids of Giza, her bright orange sundress sticking to her skin from the heat. She is pouting with exhaustion and wiping sweat from her brow, looking completely overwhelmed by the Egyptian sun."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, library, high ladder, falling, scared, looking at viewer","Belle is perched precariously on a high library ladder when it starts to wobble, her dress fluttering as she loses her balance. She looks toward the viewer with a terrified, wide-eyed expression, her hands reaching out for support as she begins to fall."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, pink, flower shop, arranging bouquets, happy, smiling","Belle is working part-time in a vibrant flower shop, wearing a short pink saree that matches the blossoms. She is happily arranging a large bouquet of roses, a bright and genuine smile lighting up her face as she works."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, slipping off shoulder, kitchen, cooking, flour on face, embarrassed, clumsy","Belle is trying to bake a cake in her small kitchen, her dress slipping off her shoulder as she vigorously stirs the batter. She looks embarrassed and clumsy with a large smudge of flour on her nose, her kitchen counter a total mess."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, short saree, navy blue, venice, gondola, sunset, elegant, looking at viewer","Belle is reclining on a gondola in Venice at sunset, wearing an elegant navy blue saree with silver trim. She looks directly at the viewer with a serene and sophisticated gaze, the golden light of the setting sun reflecting in her chestnut eyes."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, sundress, simple white, meadow, butterflies, laughing, happy","Belle is running through a lush green meadow filled with wildflowers, wearing a simple white sundress. She is laughing joyfully as she tries to catch a blue butterfly, her hair flying behind her in the sunlight."
true,3,1girl,Belle (Zenless Zone Zero),Zenless Zone Zero,"short blue hair, original dress, shipping dock, heavy lifting, crates, determined, sweating","Belle is helping load heavy cargo crates at a shipping dock, her original dress sleeves rolled up and her face red from the effort. She looks determined and strong as she heaves a massive box, sweat glistening on her neck."
