enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Xiangling,Genshin Impact,"short stylish saree, orange silk, gold trim, spice market, holding chili, confident","Digital artwork of Xiangling from Genshin Impact wearing a short stylish saree made of bright orange silk with gold trim. She stands confidently in a bustling Sumeru spice market, holding a Jueyun Chili and smiling boldly at the camera."
true,2,1girl,Xiangling,Genshin Impact,"original dress, shoulder slip, messy hair, kitchen, stove, sweating, embarrassed","Xiangling is working hard in the Wanmin Restaurant kitchen, her original dress slipping off her shoulder as she tosses a heavy wok. She looks flustered and embarrassed, with a light sheen of sweat on her face and a deep blush."
true,2,1girl,Xiangling,Genshin Impact,"short stylish saree, transparent fabric, floral pattern, liyue harbor, shy, blushing","Xiangling is walking through Liyue Harbor at night wearing a delicate, semi-transparent floral saree. She is blushing intensely and looking away shyly as the elegant fabric draws glances from the festival crowd."
true,2,1girl,Xiangling,Genshin Impact,"original dress, wet clothes, rain, holding umbrella, dragonspine, shivering","Xiangling is caught in a cold rain at the base of Dragonspine, her original dress soaked and clinging to her figure. She is shivering slightly while holding a paper umbrella, looking at the viewer with an elegant yet weary expression."
true,2,1girl,Xiangling,Genshin Impact,"short stylish saree, deep red, gold jewelry, grand bazaar, dancing, seductive","Xiangling is performing a spirited dance at the Grand Bazaar, her deep red short saree flowing around her legs. She wears intricate gold jewelry and a seductive, confident gaze that captivates everyone around her."
true,2,1girl,Xiangling,Genshin Impact,"original dress, shoulder slip, forest, gathering mushrooms, caught, shy","Xiangling is leaning deep into the bushes to gather rare mushrooms, her dress slipping off her shoulder and back. She turns toward the viewer with a shy, startled expression, her face turning bright red."
true,2,1girl,Xiangling,Genshin Impact,"short stylish saree, vibrant yellow, dragon-print, guyun stone forest, confident, posing","Xiangling is posing elegantly on the rocks of Guyun Stone Forest wearing a vibrant yellow saree with dragon motifs. She looks out over the ocean with a confident smile, her hair ribbons fluttering in the sea breeze."
true,2,1girl,Xiangling,Genshin Impact,"original dress, flour on face, kitchen, rolling dough, pouting, angry","Xiangling is pouting angrily in her kitchen, her face and original dress covered in white flour after a cooking mishap. She huffs at the viewer with crossed arms, looking both cute and frustrated."
true,2,1girl,Xiangling,Genshin Impact,"short stylish saree, lace trim, white silk, jade chamber, elegant, looking down","Xiangling is standing on the balcony of the Jade Chamber wearing an elegant white silk saree with lace trim. She looks down at Liyue Harbor with a serene and sophisticated expression, her silhouette framed by the moon."
true,2,1girl,Xiangling,Genshin Impact,"original dress, shoulder slip, resting, tree shadow, sleeping, peaceful","Xiangling is napping under a large tree in Minlin, her original dress slipping off her shoulder as she leans against the trunk. She has a peaceful and elegant expression, unaware of her disarrayed clothing."
