enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, office, desk, paperwork, shoulder slip, blushing, shy","Digital artwork of Keqing from Genshin Impact, with her purple hair in twin tails, working late at her desk in Liyue Harbor. Her purple dress is slipping off her shoulder as she reaches for a stack of paperwork, looking shy and embarrassed at the viewer."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, construction site, blueprint, shoulder slip, embarrassed, sweating","Keqing is overseeing a construction project in Liyue, holding a heavy blueprint. She has a deep blush on her face because her dress has slipped off one shoulder during the hard work."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, library, ladder, heavy books, shoulder slip, shy, blushing","Keqing is balanced on a library ladder while organizing heavy archive books. Her elegant dress is slipping off her shoulder from the effort, making her look incredibly shy and embarrassed as she realizes she is being watched."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, harbor, crates, lifting, shoulder slip, shy, sweating","Keqing is helping move heavy crates at the Liyue Harbor docks under the hot sun. One side of her dress is slipping off her shoulder, and she looks flustered and embarrassed while trying to maintain her professional composure."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, smithy, anvil, hammer, shoulder slip, blushing, heat","Keqing is working hard at a forge, her face red from the heat and exertion. Her purple dress is slipping off her shoulder as she swings a hammer, making her look shy and embarrassed when she notices the viewer."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, garden, shovel, planting, shoulder slip, shy, blushing","Keqing is focused on planting silk flowers in a garden, her hands covered in dirt. She looks very shy and embarrassed as her dress slips off her shoulder while she leans forward to dig."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, kitchen, cooking, large pot, shoulder slip, embarrassed, steam","Keqing is busy stirring a large pot in a bustling kitchen, surrounded by steam. Her elegant purple dress has slipped off her shoulder from the vigorous movement, leaving her looking shy and embarrassed."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, mountain, ruins, climbing, shoulder slip, blushing, shy","Keqing is exploring high-altitude ruins in Jueyun Karst, pulling herself up a steep ledge. Her dress is slipping off her shoulder due to the climb, and she has an embarrassed, shy expression on her face."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, terrace, sweeping, broom, shoulder slip, embarrassed, blushing","Keqing is sweeping the Yujing Terrace early in the morning, her movements quick and efficient. She stops suddenly, looking shy and embarrassed as her dress slips off her shoulder during her chores."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, bridge, painting, easel, shoulder slip, shy, blushing","Keqing is focused on painting a structural map of Liyue while standing on a windy bridge. The wind and her movements cause her dress to slip off her shoulder, making her blush with deep embarrassment."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, workshop, wood carving, shoulder slip, shy, blushing, tools","Keqing is meticulously carving wood at a craftsman's bench, surrounded by wood shavings. Her dress is slipping off her shoulder as she works, and she looks at the viewer with a shy and embarrassed gaze."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, field, harvesting, basket, shoulder slip, embarrassed, sun","Keqing is harvesting glaze lilies in a sun-drenched field, her basket nearly full. Her purple dress is slipping off her shoulder, and she looks incredibly shy and embarrassed while wiping sweat from her brow."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, street, cleaning, bucket, shoulder slip, shy, blushing","Keqing is helping clean the streets of Liyue after a festival, carrying a heavy bucket of water. Her dress is slipping off her shoulder, and she looks shy and embarrassed to be seen in such a state."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, office, shelf, reaching, shoulder slip, embarrassed, blushing","Keqing is reaching for a high-up scroll in her office, her body stretched thin. Her elegant dress slips off her shoulder during the reach, causing her to look down with a shy and embarrassed expression."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, mine, pickaxe, shoulder slip, blushing, shy, dust","Keqing is working deep in the Chasm mines, her face slightly dusty from the effort of swinging a pickaxe. Her dress is slipping off her shoulder, and she looks shy and embarrassed at the unexpected company."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, ship, rope, pulling, shoulder slip, embarrassed, sea spray","Keqing is helping pull a heavy mooring rope on a ship at the Liyue docks. Sea spray dampens her dress, which is slipping off her shoulder, making her look shy and embarrassed."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, warehouse, tallying, clipboard, shoulder slip, shy, blushing","Keqing is tallying supplies in a dimly lit warehouse, her focus intense. She looks up with a shy and embarrassed blush as her dress slips off her shoulder while she writes on her clipboard."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, temple, incense, cleaning, shoulder slip, embarrassed, blushing","Keqing is cleaning the incense burners at a local temple, her movements precise. Her dress has slipped off her shoulder, and she looks incredibly shy and embarrassed by the wardrobe malfunction."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, stable, feeding, hay, shoulder slip, blushing, shy","Keqing is feeding the pack animals at a roadside stable, her arms full of hay. She has a shy and embarrassed look on her face as her purple dress slips off her shoulder during the work."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, bridge, repairs, hammer, shoulder slip, embarrassed, blushing","Keqing is assisting with repairs on a stone bridge, focused on her task. Her dress is slipping off her shoulder as she works, and she looks at the viewer with a shy, embarrassed expression."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, village, water pump, shoulder slip, shy, blushing, wet","Keqing is pumping water in a small village, her effort making her dress slip off her shoulder. She looks shy and embarrassed, her face red from the exertion and the situation."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, laboratory, alchemy, shoulder slip, embarrassed, blushing, vials","Keqing is working hard in an alchemy lab, carefully mixing reagents. Her dress is slipping off her shoulder, and she looks shy and embarrassed as she tries to fix it without spilling her work."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, courtyard, training, sword, shoulder slip, shy, blushing, sweat","Keqing is mid-training with her sword in a private courtyard, her movements sharp. Her dress has slipped off her shoulder from the intensity of the workout, leaving her looking shy and embarrassed."
true,2,1girl,Keqing,Genshin Impact,"purple hair, cat ears hair, office, floor, maps, shoulder slip, embarrassed, blushing","Keqing is spread out on the floor of her office surrounded by large maps of Liyue. She looks very shy and embarrassed as she realizes her dress is slipping off her shoulder while she is leaning over the maps."
true,2,1girl,Keqing,Genshin Impact,"purple hair, twin tails, river, laundry, scrubbing, shoulder slip, shy, blushing, water","Keqing is scrubbing laundry by a river, her sleeves rolled up and her dress slipping off her shoulder. She has a deep blush of embarrassment as she notices the viewer watching her work."
