enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Raiden Shogun,Genshin Impact,"divine elegance, ornate kimono, glowing Electro energy","She stands confidently with her arms crossed, the intricate folds of her divine kimono slightly parting to reveal a glimpse of her toned midriff. Her expression is one of serene yet intense desire, and a faint sheen of sweat glistens on her flushed cheeks."
true,2,1girl,Keqing,Genshin Impact,"modern qipao, sheer fabric, vibrant colors","Keqing leans against a polished marble pillar, the side of her fitted qipao slipping artfully off one shoulder. Her eyes are half-lidded with playful arrogance, and she looks utterly drenched in anticipation."
true,2,1girl,Himeko,Honkai Star Rail,"elegant dress, deep V-neck, flowing fabric","Himeko is captured mid-laugh, her long crimson hair cascading over one shoulder as the neckline of her elegant dress dips low. She appears flushed and vulnerable, a bead of moisture tracing down her collarbone."
true,2,1girl,Yae Miko,Genshin Impact,"traditional kimono, sheer obi, playful","Yae Miko is lounging provocatively on a silk cushion, her signature kimono slightly undone to expose cleavage. Her smile is mischievous, and she looks utterly horny, with a slight pout of invitation."
true,2,1girl,Trailblazer (Female),Honkai Star Rail,"futuristic bodysuit, sheer panels, athletic","The Trailblazer strikes a dynamic pose, one leg bent high, her sleek black bodysuit revealing curves everywhere. She is panting slightly, looking intensely at the viewer with wide, needy eyes."
true,2,1girl,Jean Gunnhildr,Genshin Impact,"uniform variation, short skirt, open collar","Jean stands in a windswept field, her usual uniform modified into a shorter, more revealing style. The top buttons are undone, and she has a flushed, embarrassed look as if caught daydreaming."
true,2,1girl,Eula Lawrence,Genshin Impact,"elegant gown, off-the-shoulder, dramatic","Eula is dramatically draped across a velvet chaise lounge, her elaborate gown slipping down to expose one perfect shoulder. Her expression is a mix of haughty disdain and undeniable lust."
true,2,1girl,Bronya Rand,Honkai Star Rail,"school uniform variation, short plaid skirt, sheer blouse","Bronya sits on the edge of a futuristic console, her white blouse slightly damp and clinging to her chest. She looks shyly up at the viewer, cheeks bright red with arousal."
true,2,1girl,Nahida,Genshin Impact,"forest attire, leaf motifs, revealing","Nahida is nestled amongst glowing flora, her usual outfit subtly modified to be more form-fitting and sheer around the bust. She gazes out with wide, innocent yet deeply lustful eyes."
true,2,1girl,Welt Yang,Honkai Star Rail,"suit variation, unbuttoned shirt, loosened tie","Though usually stoic, Welt is depicted in a slightly rumpled suit where his white dress shirt is open several buttons down. He has a heavy, needy sigh escaping his lips, looking utterly undone."
true,2,1girl,Venti,Genshin Impact,"bard attire, loose tunic, exposed chest","Venti is leaning against an ancient stone archway, his usual flowing clothes slightly askew. His expression is carefree and overtly horny, with a slight drool forming at the corner of his mouth."
true,2,1girl,Clara,Honkai Star Rail,"casual wear, short sundress, wet","Clara stands near a shimmering pool, her light blue sundress clinging to her curves from being splashed. She looks directly at the viewer with a confident, sultry smirk."
true,2,1girl,Ayaka Kamisato,Genshin Impact,"formal kimono, sheer sleeves, delicate","Ayaka is posed gracefully on a veranda overlooking a snowy garden, her formal kimono slightly pulled open at the chest. Her gaze is soft, vulnerable, and deeply yearning."
true,2,1girl,Kafka,Honkai Star Rail,"sleek dress, high slit, confident","Kafka leans against a dark bar in a smoky lounge, her form-fitting black dress showcasing an impossibly high slit. She looks at the viewer with predatory confidence, clearly wanting something."
true,2,1girl,Ganyu,Genshin Impact,"traditional attire, sheer overlay, shy","Ganyu is caught mid-movement, perhaps reaching for a tea cup, causing her sheer outer layer to shift and reveal more skin. Her ears are slightly pink, conveying deep embarrassment mixed with desire."
true,2,1girl,Serval,Honkai Star Rail,"techwear outfit, cropped top, revealing","Serval is perched on a stack of glowing data pads, her tech-inspired crop top barely containing her bust. She throws a playful, challenging glance over her shoulder."
true,2,1girl,Hu Tao,Genshin Impact,"traditional robes, ripped/torn effect, mischievous","Hu Tao strikes a dramatic pose, one sleeve of her robe dramatically falling off her arm, revealing tanned skin. Her grin is wide and wicked, clearly enjoying the attention she's drawing."
true,2,1girl,Raiden Shogun (Alternate),Genshin Impact,"battle dress, armor plating, wet","She stands amidst a burst of Electro energy, her battle attire glistening with moisture. The armor plates around her waist are slightly askew, hinting at vulnerability beneath the power."
true,2,1girl,March 7th,Honkai Star Rail,"casual outfit, short shorts, playful","March is playfully pouting while leaning against a train window, her denim shorts riding up slightly. She looks utterly flustered but undeniably horny."
true,2,1girl,Klee,Genshin Impact,"adventure gear, ripped skirt, energetic","Klee is mid-jump, one leg kicked high, her adventure outfit torn at the hem of her skirt. Her face is flushed with exertion and excitement, making her look incredibly cute and horny."
true,2,1girl,Tighnari,Genshin Impact,"forest ranger gear, open vest, natural","Tighnari is leaning against a mossy tree trunk, his vest unbuttoned to reveal a toned chest. He has a slightly flushed expression, looking overwhelmed by the heat and desire."
true,2,1girl,Dr. Ratio,Honkai Star Rail,"academic wear, loosened tie, intense","Dr. Ratio stands with an air of intellectual superiority, but his usually stiff posture is compromised; his collar is undone, and he stares at the viewer with a burning, challenging gaze."
true,2,1girl,Xiao,Genshin Impact,"traditional warrior garb, tattered cloak, brooding","Xiao is crouched low, cloaked in shadows, his armor slightly askew. His expression is intense and pained, suggesting deep, suppressed horniness."
true,2,1girl,Furina,Genshin Impact,"hydro-themed dress, wet look, dramatic","Furina strikes a theatrical pose on a watery stage, her elaborate gown clinging to her like a second skin from the water. Her expression is one of demanding, over-the-top desire."
true,2,1girl,Welt Yang (Alternate),Honkai Star Rail,"casual jacket, open shirt, relaxed","Welt is leaning casually against a railing in a city setting, his jacket unzipped to reveal a soft white t-shirt underneath. He looks contentedly horny, eyes half-closed."
true,2,1girl,Shenhe,Genshin Impact,"elegant robes, sheer sleeves, reserved","Shenhe stands amidst swirling ice particles, her heavy robes partially open, revealing the delicate curve of her collarbone and chest. She maintains a stoic facade but her lips betray deep longing."
true,2,1girl,Aether (Female),Genshin Impact,"traveler outfit, slightly torn, adventurous","The female Aether is leaning against a cliff edge overlooking a vast landscape, her iconic outfit showing signs of wear and tear. She looks back over her shoulder with a breathless, eager expression."
true,2,1girl,Herta,Honkai Star Rail,"cosmic attire, revealing cutouts, playful","Herta is floating slightly in zero gravity within a starship hangar, her cosmic dress featuring strategic sheer panels. She winks suggestively at the viewer."
true,2,1girl,Ningguang,Genshin Impact,"elegant robes, high slit, powerful","Ningguang stands regally on a balcony overlooking Liyue Harbor, her magnificent robes split high up the thigh. Her expression is one of confident, satisfied lust."
true,2,1girl,Raiden Shogun (Pouting),Genshin Impact,"divine kimono, slightly askew, embarrassed","She is caught mid-pout on a throne, her divine kimono slipping down to reveal more cleavage than usual. She looks utterly flustered by the attention, yet clearly enjoys it."
true,2,1girl,Keqing (Wet),Genshin Impact,"qipao, soaked fabric, vulnerable","Keqing is standing in a light drizzle, her qipao clinging tightly to every curve, making her look incredibly delicate and wet. Her eyes are wide with surprised arousal."
true,2,1girl,Himeko (Confident),Honkai Star Rail,"dress, open back, sultry","Himeko leans against a bar counter, one hand resting on her hip, showcasing the elegant cut of her dress. She meets the viewer's gaze with a knowing, confident smirk."
true,2,1girl,Yae Miko (Wet),Genshin Impact,"kimono, clinging fabric, seductive","Yae Miko is caught in a sudden downpour, her kimono plastered to her body, emphasizing every curve. She looks directly at the viewer with an intensely horny, knowing look."
true,2,1girl,Trailblazer (Angry Pout),Honkai Star Rail,"bodysuit, slightly ripped, frustrated","The Trailblazer is leaning against a wall, arms crossed tightly over her chest, but the slight tension in her posture and flushed cheeks betray deep frustration mixed with desire."
true,2,1girl,Jean Gunnhildr (Slipping),Genshin Impact,"uniform, shoulder strap down, flustered","Jean is caught mid-stride, one of her uniform straps has slipped completely off her shoulder. She glances back over her shoulder in embarrassment, a blush creeping up her neck."
true,2,1girl,Eula Lawrence (Confident),Genshin Impact,"gown, dramatic drape, alluring","Eula stands tall, allowing the heavy fabric of her gown to pool around her feet while one side dramatically falls open. She looks down at herself with an air of self-satisfied allure."
true,2,1girl,Bronya Rand (Provocative),Honkai Star Rail,"uniform, leaning forward, teasing","Bronya is leaning over a desk, resting her elbows on the surface, allowing her short skirt to ride up slightly. She looks up at the viewer with a challenging, provocative expression."
true,2,1girl,Nahida (Confident/Wet),Genshin Impact,"forest attire, glistening leaves, powerful","Nahida stands amidst dripping foliage, her leaf-patterned dress shimmering with moisture. She holds a small glowing orb, looking out with confident, vibrant desire."
true,2,1girl,Welt Yang (Horny),Honkai Star Rail,"suit, loosened tie, leaning back","Welt is leaning against a wall in a relaxed manner, his suit jacket slightly open and his tie askew. He has a heavy, satisfied look on his face, clearly enjoying the moment."
true,2,1girl,Venti (Shy/Wet),Genshin Impact,"bard attire, drenched, bashful","Venti is caught under a sudden shower of rain, his tunic clinging to his chest and torso. He looks down shyly, trying to hide his flushed face from the viewer."
true,2,1girl,Clara (Provocative/Wet),Honkai Star Rail,"sundress, wet cling, confident","Clara is standing near a waterfall, her sheer sundress completely soaked and clinging to her curves. She throws her head back slightly, letting out a silent, sultry moan."
true,2,1girl,Ayaka Kamisato (Provocative),Genshin Impact,"kimono, open front, inviting","Ayaka is seated gracefully on a tatami mat, the front of her kimono deliberately left open to showcase her décolletage. She offers a gentle, inviting smile."
true,2,1girl,Kafka (Wet/Vulnerable),Honkai Star Rail,"dress, clinging fabric, exposed back","Kafka is leaning against a rain-streaked windowpane, her dress soaked through and clinging tightly to her form. Her eyes are heavy-lidded, conveying deep vulnerability."
true,2,1girl,Ganyu (Provocative/Wet),Genshin Impact,"attire, sheer overlay, wet","Ganyu is standing in a misty clearing, the moisture making her sheer outer layer cling beautifully to her figure. She looks up at the viewer with an open, inviting expression."
true,2,1girl,Serval (Confident/Sultry),Honkai Star Rail,"techwear, short shorts, confident","Serval is leaning against a glowing piece of machinery, one hand running through her hair. Her cropped top and short shorts emphasize her athletic curves, radiating confidence."
true,2,1girl,Hu Tao (Wet/Shy),Genshin Impact,"robes, soaked, embarrassed","Hu Tao is caught in a sudden burst of water from a fountain, her robes clinging to her like wet silk. She throws her hands up in mock embarrassment while blushing furiously."
true,2,1girl,Raiden Shogun (Vulnerable/Wet),Genshin Impact,"battle dress, dripping, exposed","She stands amidst the aftermath of an Electro burst, her battle attire glistening and dripping water down her body. Her usual stern expression is softened by a look of raw vulnerability."
true,2,1girl,March 7th (Confident/Sultry),Honkai Star Rail,"casual outfit, short shorts, confident","March is leaning against the side of the Astral Express, one leg crossed over the other, her denim shorts riding up. She gives the viewer a bold, playful wink."
true,2,1girl,Klee (Provocative/Wet),Genshin Impact,"adventure gear, soaked, energetic","Klee is playfully splashing in a puddle, her adventure skirt completely saturated and clinging to her hips. Her face is bright with mischievous, horny energy."
true,2,1girl,Tighnari (Confident/Sultry),Genshin Impact,"ranger gear, open vest, confident","Tighnari stands confidently amidst lush greenery, his vest wide open, showcasing a toned chest and slightly damp skin. He looks directly at the viewer with a knowing smirk."
true,2,1girl,Dr. Ratio (Provocative/Wet),Honkai Star Rail,"academic wear, soaked shirt, intense","Dr. Ratio is leaning over a stack of books in a library setting; his white shirt is thoroughly soaked, clinging to his torso. His gaze is piercing and intensely demanding."
true,2,1girl,Xiao (Seductive/Vulnerable),Genshin Impact,"warrior garb, cloak open, yearning","Xiao has allowed his heavy cloak to fall open dramatically, revealing the lean lines of his body beneath the armor. He looks out with a deep, almost painful expression of longing."
true,2,1girl,Furina (Confident/Wet),Genshin Impact,"hydro-dress, powerful pose, wet","Furina stands atop a wave crest, her elaborate dress clinging to her like liquid silk. She strikes a commanding pose, radiating confident, watery allure."
true,2,1girl,Shenhe (Provocative/Sultry),Genshin Impact,"robes, partially open, alluring","Shenhe is seated on a frozen outcrop, allowing the heavy fabric of her robes to drape suggestively around her. She looks at the viewer with a slow, deliberate, sultry gaze."
true,2,1girl,Aether (Female) (Provocative/Wet),Genshin Impact,"traveler outfit, clinging, adventurous","The female Aether is leaning against a weathered stone wall in Mondstadt, her clothes damp from mist. The fabric clings to her curves, making her look irresistibly inviting."
true,2,1girl,Herta (Provocative/Wet),Honkai Star Rail,"cosmic attire, dripping, playful","Herta is floating near a nebula projection, her cosmic dress glistening with simulated moisture. She throws one leg up playfully, looking utterly mischievous and horny."
true,2,1girl,Ningguang (Vulnerable/Slipping),Genshin Impact,"robes, shoulder slipping, delicate","Ningguang is caught in a moment of unguarded grace; the heavy fabric of her robes has slipped slightly off one shoulder. Her expression is soft and vulnerable, inviting touch."
true,2,1girl,Raiden Shogun (Horny/Wet),Genshin Impact,"divine kimono, drenched, intense","She stands amidst glowing Electro energy, her divine kimono completely soaked, clinging to every curve of her body. Her eyes are wide with raw, undeniable horniness."
true,2,1girl,Keqing (Provocative/Confident),Genshin Impact,"qipao, high slit, confident","Keqing is leaning against a sleek modern desk, the side of her qipao pulled taut by her pose. She looks at the viewer with an assertive, demanding expression."
true,2,1girl,Himeko (Wet/Vulnerable),Honkai Star Rail,"dress, clinging fabric, soft","Himeko is standing near a window overlooking a starry night, her dress soaked from condensation. Her posture is slightly slumped, conveying sweet vulnerability and deep desire."
true,2,1girl,Yae Miko (Confident/Provocative),Genshin Impact,"kimono, open back, teasing","Yae Miko is perched on a high stool, allowing the back of her kimono to be fully exposed. She leans forward slightly, offering a confident, teasing smile."
true,2,1girl,Trailblazer (Wet/Vulnerable),Honkai Star Rail,"bodysuit, clinging, needy","The Trailblazer is leaning against a bulkhead in a spaceship corridor, the moisture making her bodysuit cling tightly to her form. She looks lost and needy, seeking comfort."
true,2,1girl,Jean Gunnhildr (Provocative/Confident),Genshin Impact,"uniform, short skirt, assertive","Jean stands with perfect posture, but the shortness of her skirt and the open collar are highly provocative. Her expression is one of determined, confident desire."
true,2,1girl,Eula Lawrence (Wet/Seductive),Genshin Impact,"gown, clinging fabric, alluring","Eula is standing in a light rain shower, her heavy gown plastered to her body, highlighting the dramatic lines of her figure. She looks at the viewer with intense, seductive eyes."
